"subj","Participant_1","Q1_participant1_ses1_affecttrust1","Q2_participant1_ses1_affecttrust2","Q3_participant1_ses1_affecttrust3","Q4_participant1_ses1_affecttrust4","Q5_participant1_ses1_affecttrust4","Q6_participant1_ses1_cognitivetrust1","Q7_participant1_ses1_cognitivetrust2","Q8_participant1_ses1_cognitivetrust3","Q9_participant1_ses1_cognitivetrust4","Q10_participant1_ses1_cognitivetrust5","Q11_participant1_ses1_cognitivetrust6","Q12_participant1_ses2_affecttrust1","Q13_participant1_ses2_affecttrust2","Q14_participant1_ses2_affecttrust3","Q15_participant1_ses2_affecttrust4","Q16_participant1_ses2_affecttrust5","Q17_participant1_ses2_cognitivetrust1","Q18_participant1_ses2_cognitivetrust2","Q19_participant1_ses2_cognitivetrust3","Q20_participant1_ses2_cognitivetrust4","Q21_participant1_ses2_cognitivetrust5","Q22_participant1_ses2_cognitivetrust6","Q23_participant1_ses3_affecttrust1","Q24_participant1_ses3_affecttrust2","Q25_participant1_ses3_affecttrust3","Q26_participant1_ses3_affecttrust4","Q27_participant1_ses3_affecttrust5","Q28_participant1_ses3_cognitivetrust1","Q29_participant1_ses3_cognitivetrust2","Q30_participant1_ses3_cognitivetrust3","Q31_participant1_ses3_cognitivetrust4","Q32_participant1_ses3_cognitivetrust5","Q33_participant1_ses3_cognitivetrust6","Q34_participant1","Q35_participant1","Q37_participant1","Q38_participant1","Q39_participant1","Q40_participant1","SC0_participant1","Participant_2","Q1_participant2_ses1_affecttrust1","Q2_participant2_ses1_affecttrust2","Q3_participant2_ses1_affecttrust3","Q4_participant2_ses1_affecttrust4","Q5_participant2_ses1_affecttrust4","Q6_participant2_ses1_cognitivetrust1","Q7_participant2_ses1_cognitivetrust2","Q8_participant2_ses1_cognitivetrust3","Q9_participant2_ses1_cognitivetrust4","Q10_participant2_ses1_cognitivetrust5","Q11_participant2_ses1_cognitivetrust6","Q12_participant2_ses2_affecttrust1","Q13_participant2_ses2_affecttrust2","Q14_participant2_ses2_affecttrust3","Q15_participant2_ses2_affecttrust4","Q16_participant2_ses2_affecttrust5","Q17_participant2_ses2_cognitivetrust1","Q18_participant2_ses2_cognitivetrust2","Q19_participant2_ses2_cognitivetrust3","Q20_participant2_ses2_cognitivetrust4","Q21_participant2_ses2_cognitivetrust5","Q22_participant2_ses2_cognitivetrust6","Q23_participant2_ses3_affecttrust1","Q24_participant2_ses3_affecttrust2","Q25_participant2_ses3_affecttrust3","Q26_participant2_ses3_affecttrust4","Q27_participant2_ses3_affecttrust5","Q28_participant2_ses3_cognitivetrust1","Q29_participant2_ses3_cognitivetrust2","Q30_participant2_ses3_cognitivetrust3","Q31_participant2_ses3_cognitivetrust4","Q32_participant2_ses3_cognitivetrust5","Q33_participant2_ses3_cognitivetrust6","Q34_participant2","Q35_participant2","Q37_participant2","Q38_participant2","Q39_participant2","Q40_participant2","SC0_participant2"
59,1,4,4,3,4,3,5,4,5,4,4,3,4,4,4,4,3,5,4,4,4,4,3,4,4,4,4,4,5,5,5,4,4,4,2,2,19,2,2,,115,2,5,5,4,5,5,5,5,5,5,4,3,5,5,4,5,3,5,4,4,4,4,2,4,4,3,4,3,4,4,4,4,4,3,2,1,18,2,5,,139
60,1,3,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,2,2,19,1,2,,131,2,4,4,2,4,4,4,4,4,3,4,1,4,5,4,5,4,5,5,5,4,5,1,4,5,4,5,4,5,5,5,4,5,1,2,2,21,2,2,,144
61,1,5,5,3,5,4,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,1,5,5,4,5,5,5,5,5,5,5,1,2,2,19,2,4,,122,2,3,3,2,3,3,5,3,4,5,4,3,4,3,3,3,4,5,3,4,4,5,5,3,3,3,3,3,5,4,5,5,4,4,2,1,18,2,4,,117
62,1,2,4,2,4,4,5,5,5,4,5,1,3,4,4,5,2,5,5,5,4,4,1,2,4,4,4,2,5,5,5,4,4,1,1,4,19,1,2,,157,2,5,5,5,5,5,5,5,5,5,5,1,5,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,2,1,18,2,4,,164
63,1,3,2,2,1,2,2,2,4,3,5,1,4,5,4,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,18,2,4,,135,2,3,1,2,3,2,4,5,4,3,3,2,3,2,3,3,2,4,5,5,3,4,1,2,2,4,4,2,5,5,5,4,3,1,2,1,18,2,6,,114
64,1,5,5,2,4,1,5,5,5,4,3,3,5,3,4,4,3,5,5,5,4,4,2,4,4,4,4,4,5,5,5,4,5,1,2,2,18,2,2,,128,2,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,1,1,19,2,5,,165
65,1,2,3,2,3,2,4,3,4,5,5,1,3,2,2,3,4,4,4,4,4,4,1,3,3,1,3,3,4,4,4,4,4,1,2,1,18,2,2,,137,2,4,4,4,4,2,5,5,3,4,4,3,4,3,3,3,3,4,4,5,3,4,2,3,3,3,4,2,4,4,4,3,3,2,2,1,18,2,2,,119
66,1,5,4,3,4,5,5,5,5,4,5,2,5,4,3,5,5,5,5,5,4,5,2,5,4,3,5,5,5,5,5,4,5,2,1,4,19,2,2,,115,2,5,5,3,5,4,5,5,4,5,5,4,5,5,4,5,5,5,5,4,4,5,2,5,5,5,5,5,5,5,5,5,5,3,1,5,20,2,2,,152
67,1,5,5,4,5,4,5,5,5,5,5,1,5,5,5,5,4,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,2,1,18,2,2,,149,2,5,5,4,3,2,4,5,4,4,5,3,5,4,3,5,2,3,5,5,4,5,2,4,5,4,5,4,5,5,5,5,5,1,2,1,21,2,2,,141
68,1,2,4,4,4,4,5,3,4,3,4,2,4,4,3,4,3,5,4,5,3,4,2,4,5,2,4,4,5,5,5,3,4,1,2,1,20,2,6,,162,2,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,20,1,2,,99
69,1,3,3,3,3,3,4,5,4,4,5,1,3,3,3,3,4,5,5,4,4,5,1,3,3,4,4,3,5,5,5,5,5,1,2,3,19,2,4,,130,2,4,3,2,4,4,5,4,5,3,4,3,2,3,3,3,3,4,4,4,4,4,2,3,3,2,3,3,4,4,4,4,4,1,2,1,18,2,5,,118
70,1,4,4,4,,,5,5,5,4,5,1,4,4,4,4,3,5,5,5,4,4,1,4,4,3,5,3,5,5,5,5,4,1,2,1,20,2,7,,133,2,3,5,4,4,4,4,4,5,4,5,2,4,3,4,4,5,5,5,5,5,5,2,4,4,5,4,5,5,5,5,5,5,4,2,2,18,2,2,,144
71,1,4,5,4,4,4,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,1,4,19,2,2,"Middle eastern/arabic",136,2,3,3,4,3,3,5,5,4,4,4,2,3,4,3,3,3,4,4,5,3,4,2,3,3,3,3,3,5,4,5,4,4,2,2,4,21,2,5,,123
72,1,1,1,1,3,1,4,5,5,4,4,1,1,1,1,3,1,4,5,5,4,4,1,1,3,1,3,1,5,5,4,4,4,1,2,1,20,2,3,,160,2,1,1,1,2,1,3,3,3,3,2,1,1,3,1,3,1,3,3,1,3,3,3,1,3,1,3,1,3,3,4,3,3,3,2,1,19,2,5,,78
73,1,4,3,4,4,4,4,4,4,4,4,1,4,4,5,4,5,4,5,5,4,4,1,5,4,5,4,5,5,5,5,4,5,1,2,3,18,1,2,,104,2,3,4,4,3,3,4,4,4,4,4,1,3,5,4,4,3,4,4,5,5,5,1,4,4,4,4,3,5,5,5,5,5,1,2,2,18,2,5,,138
74,1,4,5,4,4,4,4,5,5,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,5,4,4,4,2,2,1,18,2,2,,145,2,2,1,3,3,1,5,4,5,3,3,4,2,2,1,3,2,4,4,5,3,4,4,2,2,2,3,3,5,5,5,4,4,4,2,2,18,2,2,,101
75,1,5,4,3,3,4,4,5,4,3,4,3,4,4,3,5,3,5,4,5,4,5,2,5,5,4,4,4,5,5,5,5,5,2,2,3,19,2,4,,132,2,3,5,3,5,5,5,5,5,3,5,3,3,5,3,5,5,5,4,5,4,5,4,5,5,4,5,5,5,5,5,5,5,3,2,3,18,2,2,,145
76,1,2,5,3,3,4,4,4,5,4,4,4,2,3,3,3,4,4,4,5,4,4,3,3,3,3,3,4,4,4,5,4,4,4,2,3,21,2,2,,139,2,4,5,4,4,4,5,5,4,4,4,1,4,4,4,4,4,5,5,5,5,5,1,4,4,5,4,5,5,5,5,5,5,1,2,3,32,2,5,,150
77,1,1,1,1,3,1,4,5,5,4,3,1,1,2,2,1,1,5,5,5,4,5,1,3,4,3,4,1,5,5,5,5,5,1,2,2,21,2,2,,118,2,4,2,4,3,4,5,4,5,4,2,4,4,3,4,3,3,5,5,5,4,5,1,4,4,4,4,4,5,5,5,5,5,1,2,1,19,1,2,,135
78,1,4,3,3,4,4,4,4,4,4,5,4,4,3,4,4,4,,3,4,4,4,4,4,3,4,4,3,4,2,4,4,4,4,2,1,19,2,2,,114,2,4,3,2,4,5,5,4,5,4,4,2,4,3,2,4,5,4,5,5,4,4,2,3,4,2,4,5,5,4,5,4,4,2,2,3,19,1,2,,132
79,1,1,3,3,3,1,4,3,4,3,1,4,3,3,1,3,3,4,3,4,3,4,3,1,3,1,3,1,4,1,4,3,3,3,2,1,19,2,2,,115,2,3,4,4,5,4,5,4,5,4,4,1,4,4,5,4,4,4,5,4,4,4,2,4,4,5,5,4,4,4,4,4,4,1,2,1,18,2,2,,140
80,1,5,4,2,4,5,3,4,4,5,5,5,4,5,2,5,5,4,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,2,18,2,2,,40,2,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,2,1,18,2,2,,66
81,1,4,4,4,4,3,4,2,4,3,4,2,5,4,4,3,4,4,4,2,3,3,2,4,4,4,4,4,5,4,3,4,4,3,2,2,21,2,2,,89,2,3,4,5,3,2,4,3,2,3,3,3,3,5,5,3,3,4,5,4,3,4,2,3,5,5,4,3,5,5,5,3,4,2,2,1,29,2,4,,124
82,1,2,2,3,2,2,4,4,4,4,5,1,3,3,3,3,3,5,4,5,3,4,1,3,3,3,4,3,5,5,5,3,5,1,2,2,19,1,2,,139,2,3,4,2,3,2,4,4,4,3,4,3,4,3,4,4,4,4,4,4,3,4,2,4,4,5,4,4,5,5,5,4,5,4,2,1,18,1,2,,125
83,1,3,4,3,3,2,3,4,2,4,3,3,3,3,3,3,4,3,3,3,3,2,3,3,4,3,4,4,4,3,4,3,4,3,2,1,20,2,5,,123,2,4,5,4,5,4,5,4,5,4,4,4,4,4,3,4,5,5,5,4,5,5,2,4,4,3,4,5,5,5,5,4,5,2,2,3,18,2,2,,142
84,1,3,3,2,3,2,4,5,4,4,4,4,3,4,4,4,2,4,5,5,4,4,3,4,4,4,4,3,4,4,5,4,4,3,2,2,18,1,2,,122,2,5,4,4,3,4,5,4,4,3,3,4,4,5,4,4,5,4,4,4,4,4,5,5,2,4,5,4,4,4,4,2,2,5,2,1,18,1,2,,121
86,1,3,5,2,4,3,5,5,5,4,4,2,3,3,4,4,3,5,5,5,4,4,1,4,3,4,5,4,5,5,5,4,5,2,2,1,18,2,2,,106,2,4,5,4,5,4,5,5,4,3,5,4,4,4,4,4,4,5,5,5,4,4,3,4,4,4,4,4,5,5,5,4,4,4,2,2,18,2,2,,137
87,1,4,4,2,4,1,4,3,3,3,4,1,4,4,4,4,4,4,2,2,4,3,,4,4,4,4,4,4,2,2,4,4,2,1,3,18,1,2,,121,2,4,4,4,3,2,4,4,4,4,4,2,5,4,5,4,4,5,5,5,5,5,1,5,4,5,4,4,5,5,5,4,5,1,1,4,18,2,7,"Middld eastern",144
88,1,3,3,,3,2,3,4,3,3,4,3,3,3,2,4,3,4,4,4,3,3,3,3,3,3,3,4,4,4,3,4,4,3,2,2,18,2,2,,137,2,3,3,3,3,3,3,3,3,4,3,3,3,4,2,3,3,4,3,4,4,3,1,3,,,,,,,,,,1,2,3,19,2,4,,80
89,1,5,5,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,2,1,18,2,2,,112,2,2,4,3,3,3,5,3,3,3,5,3,3,3,3,3,3,5,4,4,3,4,3,3,3,3,3,3,5,5,5,3,3,2,2,2,19,3,4,,115
90,1,3,4,3,2,4,2,2,3,3,4,4,3,3,3,2,3,3,2,3,3,2,2,2,1,3,2,2,4,4,2,2,2,2,2,2,19,1,2,,105,2,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,20,2,5,,97
91,1,5,2,4,4,4,4,4,3,4,3,4,3,2,3,3,4,2,3,3,4,4,4,2,3,4,4,4,3,4,3,4,4,4,2,2,21,2,2,,148,2,5,5,4,4,4,4,4,5,4,4,5,4,4,4,4,4,3,4,4,5,4,5,4,4,5,4,5,4,5,5,4,4,5,2,2,18,2,2,,130
92,1,3,4,2,3,4,3,3,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,22,2,2,,91,2,4,4,4,4,3,4,4,4,4,4,3,5,5,3,5,4,5,4,4,5,4,4,5,5,4,5,5,5,5,4,5,5,1,2,1,18,1,2,,141
93,1,3,4,3,5,4,4,4,5,5,5,3,3,4,4,4,4,5,5,5,5,5,2,3,4,4,4,4,5,5,5,5,5,1,2,3,18,2,2,,109,2,3,3,4,3,3,5,4,4,5,4,3,4,2,4,4,4,4,5,4,4,4,4,3,3,4,3,3,2,3,3,3,3,3,2,4,20,2,2,,115
94,1,3,4,2,4,4,5,3,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,19,2,2,,117,2,4,4,2,3,2,3,4,2,4,4,3,2,4,2,4,2,4,5,4,4,4,2,4,4,3,4,4,4,5,5,3,4,2,2,1,19,2,2,,118
95,1,4,4,2,3,3,3,3,4,3,3,1,5,3,3,3,4,4,4,4,3,4,2,,3,4,3,4,5,4,4,4,4,1,2,3,18,2,2,,142,2,4,3,4,3,4,3,3,2,4,3,3,4,3,3,3,4,4,4,3,4,3,2,4,3,4,3,4,4,3,4,3,4,2,2,1,18,2,4,,115
96,1,5,2,4,3,3,5,4,5,4,5,5,3,3,4,3,4,5,5,3,5,4,4,4,3,4,3,4,5,5,4,5,5,4,2,2,20,1,2,,140,2,2,2,2,4,4,4,5,4,3,4,2,2,2,2,2,3,4,4,4,4,4,2,2,2,3,2,3,4,4,4,4,4,2,2,1,21,2,2,,109
97,1,3,5,5,4,2,4,4,5,4,4,3,3,4,5,4,4,4,4,5,3,5,3,4,5,5,5,4,4,4,5,4,5,2,2,2,20,1,5,,118,2,4,3,3,3,1,4,4,4,3,4,2,4,4,3,4,3,5,5,5,4,5,1,5,5,4,5,3,5,5,5,5,4,1,2,1,19,2,4,,135
98,1,4,3,3,3,4,4,5,5,4,4,2,4,3,3,4,3,5,5,5,4,5,3,4,4,3,3,3,5,5,5,4,4,3,2,1,19,1,2,,126,2,2,3,1,3,2,3,4,4,4,3,4,3,3,3,4,3,3,4,4,3,4,3,3,3,3,4,4,3,4,4,3,4,3,2,1,19,2,2,,106
99,1,2,2,1,3,1,2,3,3,3,4,2,1,1,1,2,1,3,3,3,3,3,3,1,1,1,2,1,3,4,3,3,3,3,2,1,19,2,2,,136,2,4,5,2,4,4,4,3,4,3,4,4,5,5,2,5,4,5,4,5,5,4,5,5,5,4,4,4,5,4,5,4,4,5,2,3,18,2,2,,129
100,1,4,4,2,3,2,4,4,5,4,4,4,5,4,3,4,3,5,5,4,3,4,2,,,,,,,,,,,,2,3,19,2,2,,130,2,3,3,4,3,3,5,5,5,2,4,1,3,3,4,4,2,5,5,5,3,5,1,,,,,,,,,,,,,,,,,,86
101,1,4,4,3,3,4,3,4,3,4,4,3,4,3,3,4,4,2,3,2,3,4,3,3,4,3,3,4,4,4,4,4,4,4,2,3,20,2,2,,77,2,3,3,1,3,2,5,4,2,4,3,1,4,3,4,4,2,5,3,3,4,4,2,4,4,5,4,3,5,4,4,4,4,2,2,3,18,1,2,,120
102,1,4,4,1,4,2,4,3,5,4,5,1,4,2,1,4,1,3,4,4,4,4,1,4,4,2,4,3,4,4,4,5,4,1,1,4,20,1,5,,82,2,4,2,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,2,3,19,2,2,,141
103,1,5,4,4,4,4,4,5,5,4,4,3,5,4,4,4,4,5,5,5,4,5,4,5,4,4,4,4,5,5,5,4,5,4,1,4,20,1,2,,113,2,5,5,5,5,4,4,4,5,4,5,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,4,19,2,2,,152
104,1,5,3,3,3,3,5,5,5,4,4,3,3,3,3,3,3,5,5,5,3,4,3,3,3,2,3,4,1,1,1,3,1,3,2,1,20,2,4,,120,2,5,3,2,3,4,5,5,5,4,5,2,4,3,4,4,3,5,5,4,4,4,5,3,4,4,4,4,5,5,5,5,5,4,2,1,18,1,2,,132
105,1,2,4,4,4,3,5,5,4,5,4,4,5,5,4,5,4,4,5,4,5,4,4,5,5,4,5,5,5,5,5,5,5,2,2,2,20,2,4,,140,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,2,3,20,2,2,,128
106,1,2,3,4,3,4,2,3,3,3,2,1,1,1,3,2,3,3,4,2,3,3,5,2,3,4,2,4,3,3,4,2,3,1,2,1,19,2,4,,108,2,4,2,4,4,2,5,4,1,4,5,1,4,4,4,4,2,5,5,5,4,5,2,4,4,4,4,4,5,5,5,4,5,2,2,1,19,2,5,,134
107,1,4,4,3,4,4,3,2,2,2,3,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,2,1,20,2,2,,142,2,4,4,3,3,4,3,4,4,4,4,2,4,4,4,4,5,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,2,2,2,18,2,2,,129
108,1,3,2,2,3,2,4,4,4,4,4,2,4,3,4,3,4,4,4,4,5,5,2,4,4,4,4,4,4,4,4,4,4,2,2,2,18,2,2,,95,2,5,5,1,5,5,5,5,5,5,5,1,5,5,4,5,5,5,5,5,5,5,1,5,5,4,5,5,5,5,5,5,5,1,2,1,20,2,5,,159
109,1,3,4,2,4,3,5,5,4,4,5,2,4,3,4,4,4,5,5,4,5,5,2,3,4,4,4,3,5,5,5,5,5,1,2,3,19,2,4,,115,2,1,4,3,3,1,4,5,5,3,4,1,2,4,2,4,1,4,5,5,3,4,1,4,4,4,4,1,4,5,5,3,4,1,2,1,21,1,5,,120
110,1,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,2,3,20,1,5,,124,2,2,3,4,3,3,3,4,4,3,4,3,2,2,4,3,3,3,4,4,3,3,3,4,3,4,3,4,4,4,4,3,3,3,2,2,21,1,5,,109
111,1,4,4,4,4,2,4,4,4,4,4,2,2,4,2,4,2,4,4,4,4,3,1,4,4,4,4,2,5,4,5,5,5,1,1,1,21,2,4,,138,2,4,5,4,3,4,4,4,4,4,4,3,3,4,4,4,3,3,4,4,3,3,3,4,4,4,4,3,4,4,4,4,4,4,2,1,18,5,7,,122
112,1,4,1,3,3,4,5,5,5,3,4,4,4,3,4,3,4,4,4,4,5,5,3,4,4,4,4,4,4,4,4,4,5,4,1,2,20,2,4,,154,2,3,3,2,4,4,5,5,5,4,5,4,4,3,4,4,5,5,5,5,4,5,1,5,3,5,4,5,5,5,5,4,5,1,1,4,20,1,2,,142
113,1,2,2,2,3,4,4,4,4,4,3,2,2,3,2,4,4,5,3,4,3,4,2,4,3,4,4,2,4,5,4,3,4,1,2,2,18,1,2,,127,2,5,4,4,5,5,4,5,4,4,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,2,20,2,2,,147
114,1,4,3,2,4,3,3,4,4,4,4,2,3,4,3,3,3,3,4,3,3,3,3,4,4,3,5,3,3,4,4,3,3,3,2,2,21,2,2,,125,2,3,4,5,4,3,5,4,4,4,4,4,4,4,5,4,4,5,5,5,4,4,2,4,4,5,4,5,5,5,5,4,4,2,2,3,18,2,2,,139
115,1,4,4,3,3,4,4,4,3,4,4,4,4,4,3,4,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,18,2,4,,116,2,4,4,4,3,3,3,3,2,3,2,2,4,3,2,3,4,3,4,3,3,2,3,4,3,2,3,4,3,4,3,4,3,3,2,1,19,2,2,,105
116,1,3,3,2,4,2,5,5,5,4,4,1,3,4,3,4,2,5,5,5,4,5,1,3,4,4,5,3,5,5,5,4,5,1,2,1,22,2,2,,113,2,4,5,3,5,3,5,5,5,3,5,1,5,5,3,5,4,5,5,5,3,5,1,5,5,4,5,5,5,5,5,3,5,1,1,3,18,2,5,,150
117,1,5,5,4,5,4,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,2,3,21,2,4,,122,2,5,4,4,5,5,5,5,5,5,5,2,5,4,4,5,4,5,5,5,5,5,1,5,4,5,4,5,5,5,5,5,5,1,2,1,19,2,2,,157
