"subj","Participant_1","Q1_participant1_ses1_affecttrust1","Q2_participant1_ses1_affecttrust2","Q3_participant1_ses1_affecttrust3","Q4_participant1_ses1_affecttrust4","Q5_participant1_ses1_affecttrust4","Q6_participant1_ses1_cognitivetrust1","Q7_participant1_ses1_cognitivetrust2","Q8_participant1_ses1_cognitivetrust3","Q9_participant1_ses1_cognitivetrust4","Q10_participant1_ses1_cognitivetrust5","Q11_participant1_ses1_cognitivetrust6","Q12_participant1_ses2_affecttrust1","Q13_participant1_ses2_affecttrust2","Q14_participant1_ses2_affecttrust3","Q15_participant1_ses2_affecttrust4","Q16_participant1_ses2_affecttrust5","Q17_participant1_ses2_cognitivetrust1","Q18_participant1_ses2_cognitivetrust2","Q19_participant1_ses2_cognitivetrust3","Q20_participant1_ses2_cognitivetrust4","Q21_participant1_ses2_cognitivetrust5","Q22_participant1_ses2_cognitivetrust6","Q23_participant1_ses3_affecttrust1","Q24_participant1_ses3_affecttrust2","Q25_participant1_ses3_affecttrust3","Q26_participant1_ses3_affecttrust4","Q27_participant1_ses3_affecttrust5","Q28_participant1_ses3_cognitivetrust1","Q29_participant1_ses3_cognitivetrust2","Q30_participant1_ses3_cognitivetrust3","Q31_participant1_ses3_cognitivetrust4","Q32_participant1_ses3_cognitivetrust5","Q33_participant1_ses3_cognitivetrust6","Q34_participant1","Q35_participant1","Q37_participant1","Q38_participant1","Q39_participant1","Q40_participant1","SC0_participant1","Participant_2","Q1_participant2_ses1_affecttrust1","Q2_participant2_ses1_affecttrust2","Q3_participant2_ses1_affecttrust3","Q4_participant2_ses1_affecttrust4","Q5_participant2_ses1_affecttrust4","Q6_participant2_ses1_cognitivetrust1","Q7_participant2_ses1_cognitivetrust2","Q8_participant2_ses1_cognitivetrust3","Q9_participant2_ses1_cognitivetrust4","Q10_participant2_ses1_cognitivetrust5","Q11_participant2_ses1_cognitivetrust6","Q12_participant2_ses2_affecttrust1","Q13_participant2_ses2_affecttrust2","Q14_participant2_ses2_affecttrust3","Q15_participant2_ses2_affecttrust4","Q16_participant2_ses2_affecttrust5","Q17_participant2_ses2_cognitivetrust1","Q18_participant2_ses2_cognitivetrust2","Q19_participant2_ses2_cognitivetrust3","Q20_participant2_ses2_cognitivetrust4","Q21_participant2_ses2_cognitivetrust5","Q22_participant2_ses2_cognitivetrust6","Q23_participant2_ses3_affecttrust1","Q24_participant2_ses3_affecttrust2","Q25_participant2_ses3_affecttrust3","Q26_participant2_ses3_affecttrust4","Q27_participant2_ses3_affecttrust5","Q28_participant2_ses3_cognitivetrust1","Q29_participant2_ses3_cognitivetrust2","Q30_participant2_ses3_cognitivetrust3","Q31_participant2_ses3_cognitivetrust4","Q32_participant2_ses3_cognitivetrust5","Q33_participant2_ses3_cognitivetrust6","Q34_participant2","Q35_participant2","Q37_participant2","Q38_participant2","Q39_participant2","Q40_participant2","SC0_participant2"
118,1,3,3,4,3,3,5,4,4,3,3,3,3,3,4,3,3,4,4,4,3,4,3,3,3,4,3,3,4,4,4,3,3,3,2,1,18,2,2,,135,2,3,3,2,3,3,3,5,2,4,3,3,3,3,3,4,2,4,5,4,4,4,2,3,3,3,4,2,4,5,4,4,4,2,2,1,21,2,2,,114
119,1,5,4,2,4,3,4,5,4,3,4,2,3,4,2,4,3,4,4,5,3,4,2,4,5,2,4,3,4,5,5,3,4,2,2,1,18,2,2,,155,2,3,3,3,4,3,4,3,4,4,3,3,3,3,3,3,3,4,4,4,3,3,2,3,3,3,4,3,3,4,4,3,4,3,2,3,21,2,2,,111
120,1,5,2,2,3,1,4,5,5,5,5,1,5,3,4,3,3,4,5,5,5,5,1,5,4,4,4,3,5,5,5,5,5,1,2,3,18,2,2,,113,2,4,4,3,4,3,5,5,4,4,5,2,3,4,3,4,3,5,5,5,4,5,1,4,4,3,4,3,5,5,5,5,4,1,2,1,18,2,4,,138
121,1,3,4,2,4,4,4,2,4,3,4,2,5,5,3,4,4,5,4,4,4,4,2,5,5,4,4,5,4,4,4,4,4,2,2,2,20,2,6,,125,2,4,2,2,4,3,4,4,4,2,4,2,2,4,2,4,2,4,4,4,4,4,2,2,4,2,4,2,4,4,4,4,4,2,2,2,18,1,2,,113
122,1,5,5,3,4,4,5,4,4,5,4,4,4,4,4,5,4,5,4,5,,4,4,4,4,4,5,5,5,5,5,5,5,5,2,2,18,2,2,,139,2,1,1,4,1,2,4,5,,3,4,4,1,1,4,1,1,4,4,4,3,4,4,1,2,5,1,1,4,4,4,3,4,4,2,3,18,1,2,,87
123,1,4,5,4,3,4,5,5,5,4,5,2,4,4,4,4,3,5,5,5,4,5,1,4,5,4,4,4,5,5,5,4,5,2,2,2,19,2,2,,131,2,3,3,1,4,3,4,4,1,3,4,1,4,4,1,4,3,4,4,4,3,4,2,4,4,2,4,3,5,5,4,4,4,2,2,1,19,1,2,,117
125,1,4,4,2,3,3,4,5,4,4,4,4,3,3,4,4,3,4,5,4,4,3,4,3,3,4,4,4,4,5,4,4,4,4,2,2,19,2,2,,134,2,3,4,2,3,4,5,5,5,3,5,1,3,3,3,4,3,4,5,5,4,4,1,3,3,4,4,3,5,5,5,4,5,1,2,2,19,2,5,,133
126,1,3,3,3,3,4,4,4,4,3,4,2,3,3,3,3,3,5,5,5,3,5,1,3,3,3,3,3,5,5,5,3,5,1,2,4,19,1,2,,145,2,3,3,2,5,4,4,4,5,4,4,2,3,4,3,3,4,4,4,4,4,5,4,4,4,3,4,4,5,4,5,4,4,2,2,2,18,1,2,,127
127,1,4,5,3,4,4,4,4,5,4,4,5,4,3,2,4,3,4,4,4,4,3,2,4,4,2,4,3,3,3,4,4,3,2,2,2,18,2,2,,119,2,3,2,2,4,3,4,4,4,4,3,4,3,3,3,3,,3,3,4,4,3,4,3,3,3,3,3,4,4,4,4,4,4,2,2,19,1,2,,103
128,1,1,2,2,4,2,4,4,4,3,4,2,1,2,2,3,2,4,4,4,3,4,2,2,2,3,3,3,4,4,4,3,4,2,2,2,19,2,2,,125,2,5,4,2,4,5,4,4,4,4,4,5,5,4,3,5,5,5,4,4,4,4,5,5,5,4,5,5,5,5,5,,5,5,2,3,20,2,2,,130
129,1,2,2,3,4,3,5,5,1,5,5,2,3,4,3,5,3,5,5,5,5,5,1,3,2,3,4,3,5,5,5,5,5,2,2,1,19,2,2,,119,2,4,4,3,4,4,5,5,5,4,4,3,4,4,4,4,4,5,4,5,4,5,3,4,4,4,4,4,5,4,5,4,5,3,2,3,19,2,2,,137
130,1,5,5,4,5,4,5,5,5,5,5,2,5,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,2,1,18,2,5,,103,2,3,2,2,3,3,5,5,5,5,5,1,3,3,2,3,2,5,5,5,4,5,1,3,3,2,3,2,5,5,5,4,5,1,2,2,36,2,5,,127
131,1,5,3,3,3,3,5,4,5,3,5,1,5,3,3,3,3,5,5,5,3,5,1,5,3,4,3,3,5,5,5,3,5,1,2,1,18,2,4,,131,2,5,3,3,4,2,5,4,3,5,4,3,3,3,5,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,19,2,4,,110
132,1,3,5,4,3,3,3,3,3,3,4,4,5,5,4,3,4,4,4,1,3,4,1,3,2,4,4,4,4,4,4,3,4,1,2,1,21,2,2,,161,2,4,4,4,4,3,4,4,4,4,4,2,5,4,5,5,3,5,5,5,5,4,1,4,5,4,5,3,5,5,5,5,5,1,2,3,19,2,2,,145
133,1,4,4,3,4,4,4,5,5,5,5,4,4,4,3,4,4,4,5,5,5,4,2,4,4,4,4,4,5,5,5,5,4,2,1,3,19,2,2,,135,2,4,5,3,4,3,5,4,4,4,4,1,3,5,4,4,3,4,5,4,4,4,1,4,4,4,4,3,4,5,4,4,5,1,2,2,18,2,5,,136
134,1,2,3,2,3,2,4,4,1,3,4,1,2,3,3,3,4,4,5,1,4,4,1,2,3,3,2,3,4,5,5,3,4,1,2,2,22,2,6,,119,2,3,5,5,5,2,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,20,1,2,,151
135,1,4,4,4,4,3,5,5,5,4,5,3,4,4,5,5,4,5,5,5,5,5,3,5,5,5,5,4,5,5,5,5,5,3,2,4,19,2,2,,139,2,4,4,4,4,5,5,5,5,5,5,2,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,4,4,2,2,19,2,4,,147
136,1,4,5,5,4,5,5,5,3,4,4,4,4,5,2,4,5,5,5,4,5,4,5,5,5,3,5,5,5,5,4,5,5,4,2,2,20,2,2,,110,2,1,4,3,4,3,5,5,4,4,4,1,4,4,3,3,4,4,4,4,4,4,1,5,,3,4,5,5,5,3,5,5,5,2,1,21,2,2,,126
137,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,18,1,2,,148,2,4,4,4,4,3,2,1,4,3,4,3,4,3,4,4,3,3,2,3,3,4,3,4,3,4,4,3,2,3,3,3,3,3,2,2,19,2,2,,107
138,1,1,4,3,4,1,5,5,5,3,5,1,1,3,2,3,1,5,5,5,4,5,1,1,2,1,3,1,5,5,5,4,5,1,2,1,20,2,5,,139,2,3,4,2,5,3,1,4,5,5,4,1,3,4,3,4,3,5,5,1,4,5,1,4,4,3,5,3,5,5,1,4,4,1,2,2,20,1,7,"Afghan",126
139,1,2,2,4,2,2,4,4,5,3,3,2,2,3,3,3,3,5,5,5,3,3,3,3,3,3,3,3,5,5,5,3,3,3,2,3,22,2,2,,98,2,3,3,2,5,2,5,5,5,4,5,2,4,3,2,4,4,4,5,5,4,4,2,3,4,4,5,4,5,5,5,4,5,1,2,1,22,2,2,,135
140,1,3,2,2,2,2,5,4,4,3,4,2,2,2,2,3,2,4,4,4,3,3,2,2,3,3,3,2,4,4,5,3,3,2,2,1,19,2,2,,117,2,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,4,5,5,5,5,5,2,1,30,1,2,,150
141,1,4,4,3,4,5,5,5,5,4,5,4,4,4,4,4,4,5,5,5,4,5,3,4,4,4,5,4,5,5,5,4,5,3,2,1,19,1,2,,112,2,5,4,5,5,3,5,5,5,5,5,2,5,4,4,5,4,5,5,5,5,5,1,4,4,5,5,4,5,5,5,5,5,1,2,2,18,2,5,,155
142,1,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,5,5,4,5,5,5,5,5,5,5,2,3,19,1,2,,104,2,1,2,1,1,1,5,1,5,4,2,4,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,5,1,4,4,4,4,2,1,20,1,5,,67
143,1,5,5,5,5,5,5,5,5,4,4,1,5,5,5,5,5,5,5,5,5,4,1,5,5,5,5,5,5,5,5,5,5,1,1,4,20,2,4,,141,2,3,4,4,4,4,4,4,4,3,4,2,4,4,3,4,4,4,5,5,3,4,2,4,4,3,4,5,5,5,5,4,4,2,2,3,20,2,4,,133
144,1,4,5,4,4,4,5,3,4,5,5,5,5,5,5,4,4,3,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,2,1,21,1,2,,136,2,5,2,4,2,3,4,4,4,4,4,2,4,2,4,2,4,4,5,5,4,4,1,4,2,4,3,4,4,4,5,4,5,1,2,1,19,2,2,,127
145,1,4,4,4,4,3,4,5,5,5,4,1,4,4,4,4,4,5,5,5,5,5,1,4,4,4,4,4,4,5,4,4,4,1,2,1,18,1,2,,162,2,4,3,3,5,4,4,5,5,3,2,1,4,3,4,5,4,5,5,5,3,2,1,4,3,4,4,4,5,5,5,3,2,1,2,1,19,2,5,,132
146,1,4,5,3,4,3,5,4,2,4,5,4,4,4,3,4,3,5,4,3,4,5,3,4,4,3,4,3,5,4,4,4,5,3,2,3,19,1,2,,139,2,2,3,1,3,3,3,4,3,3,4,2,2,2,1,3,4,4,3,3,3,3,3,2,2,4,3,2,3,3,3,3,2,4,2,2,18,2,3,,93
147,1,5,5,4,4,5,5,5,5,5,5,1,5,5,5,4,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,2,3,18,2,5,,143,2,2,4,4,5,4,5,5,5,5,5,1,4,4,4,4,4,5,5,5,5,5,1,4,4,5,5,5,5,5,5,5,5,1,2,1,21,2,5,,152
148,1,5,4,2,4,4,4,4,4,4,3,2,5,4,4,4,4,5,4,4,4,5,2,4,5,4,5,5,5,4,5,4,4,1,2,2,19,2,4,,126,2,3,4,3,4,3,4,4,4,4,4,3,3,4,3,4,3,5,4,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,2,3,19,2,2,,121
149,1,2,3,4,3,3,5,4,4,3,5,2,3,3,3,3,3,5,5,5,3,4,2,3,3,3,3,4,5,4,5,3,5,2,2,1,18,2,2,,162,2,4,4,4,5,4,3,4,4,5,4,2,5,5,4,5,4,4,5,4,5,5,2,5,5,5,5,5,4,5,5,4,5,2,2,3,22,1,5,,147
150,1,1,1,1,4,2,5,3,4,3,4,2,2,1,2,2,1,5,4,4,4,3,1,2,2,1,3,1,5,5,5,3,3,1,2,2,18,2,2,,139,2,4,2,4,4,3,5,5,4,4,5,4,2,4,4,4,2,5,5,5,4,4,2,2,4,4,4,2,5,5,5,4,5,4,2,1,18,2,4,,127
151,1,4,5,5,5,5,5,4,5,5,4,3,4,5,,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,2,5,18,2,2,,123,2,3,3,3,3,4,4,4,4,3,4,3,3,4,3,3,3,4,5,4,4,4,2,3,3,3,4,3,4,5,4,4,4,2,2,1,18,2,2,,120
152,1,3,3,3,3,2,5,5,5,4,4,2,3,3,3,3,3,5,5,5,3,3,2,3,3,3,3,4,5,5,5,3,3,2,2,1,20,2,2,,100,2,3,4,4,4,4,5,5,5,4,5,1,4,4,4,4,4,5,5,5,5,5,1,4,4,4,4,4,5,5,5,5,5,1,2,3,18,2,2,,148
153,1,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,5,5,5,4,5,1,4,4,5,4,4,5,4,5,5,5,1,2,1,18,2,4,,145,2,4,4,5,5,2,5,5,5,4,5,2,4,5,2,5,3,5,5,5,5,5,2,5,5,3,5,3,5,5,5,5,5,1,2,1,20,2,4,,147
155,1,3,3,5,3,4,5,5,1,4,5,1,3,3,5,4,5,5,5,1,4,4,1,5,4,5,3,4,5,5,1,4,5,1,2,3,18,2,2,,122,2,5,5,3,3,5,5,5,5,4,1,1,5,4,3,3,5,5,5,5,5,5,1,5,3,3,4,5,5,5,5,4,5,1,2,1,21,2,4,,145
156,1,4,3,3,4,2,3,4,3,4,4,3,3,4,3,3,3,4,4,4,4,4,1,3,3,4,3,3,5,5,5,5,4,2,2,3,20,1,2,,146,2,3,5,2,4,3,4,4,4,3,5,2,4,3,2,3,3,4,5,4,4,5,1,4,4,3,3,4,5,5,5,4,5,2,2,2,18,2,6,,129
158,1,4,5,4,5,4,5,5,5,4,5,1,5,5,4,4,4,5,5,5,4,5,1,5,4,4,4,5,5,5,5,4,5,2,2,3,20,1,2,,133,2,5,4,5,4,4,5,5,5,5,5,1,5,5,5,4,5,5,5,4,5,5,1,5,5,5,5,5,5,5,5,5,5,1,2,1,19,2,2,,160
159,1,1,2,1,2,4,3,3,4,3,4,2,2,2,1,2,1,3,2,1,2,2,3,1,1,1,4,1,3,1,3,2,2,4,2,1,18,2,2,,122,2,4,4,,4,4,3,3,3,4,4,5,3,3,3,3,3,3,3,4,4,4,4,2,2,3,2,2,3,4,2,2,4,4,2,1,19,2,2,,97
160,1,5,5,5,4,3,4,4,3,2,4,4,5,5,2,4,4,5,5,3,4,2,2,4,4,4,5,4,4,4,5,4,5,5,1,5,20,2,2,,152,2,5,4,2,5,4,4,3,4,4,4,4,5,5,2,5,4,5,5,5,4,4,4,5,5,2,5,5,5,4,4,4,4,4,1,5,19,2,2,,132
161,1,5,5,4,5,3,5,5,5,5,5,1,5,5,4,5,2,5,5,5,4,5,1,5,5,3,5,4,5,5,5,5,5,1,2,1,20,1,5,,73,2,5,5,3,5,4,5,5,5,3,5,4,5,5,4,5,5,5,5,5,5,5,2,5,5,4,5,4,5,4,5,3,5,3,2,2,19,1,2,,148
162,1,3,3,3,3,3,5,4,3,4,3,3,3,3,4,3,4,4,4,4,4,4,2,4,4,4,4,4,5,5,5,5,5,1,2,3,20,2,2,,128,2,3,2,1,2,5,5,5,5,3,3,1,2,2,1,1,5,5,5,4,4,4,1,1,1,1,1,1,4,4,1,4,4,1,2,1,19,2,4,,104
163,1,4,4,3,4,3,4,5,4,5,4,3,3,4,3,4,3,4,5,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2,2,2,19,2,5,,154,2,4,5,3,5,4,5,3,4,5,5,1,4,5,3,5,4,5,4,4,5,5,3,4,5,3,5,4,5,5,4,5,5,3,2,2,18,2,4,,143
164,1,2,2,2,4,3,4,5,4,4,5,2,3,3,2,4,2,4,5,3,5,5,4,3,5,2,4,3,4,5,5,4,5,3,2,2,19,2,2,,128,2,4,3,2,3,2,2,2,2,4,3,2,4,4,3,4,3,4,4,4,4,4,2,4,3,4,3,4,5,5,5,5,5,4,2,1,21,2,2,,118
165,1,3,3,3,3,3,4,5,5,3,4,2,3,3,3,3,3,5,5,5,3,4,2,3,3,4,3,3,5,5,1,3,4,1,2,1,19,2,4,,129,2,5,5,4,5,4,5,5,5,5,5,2,5,5,4,5,4,5,5,5,5,5,1,5,5,5,5,5,5,5,5,,5,1,2,4,18,2,2,,155
166,1,4,3,3,4,4,5,4,4,4,5,4,3,4,4,4,4,5,5,5,4,4,2,4,4,4,4,5,5,5,4,4,4,1,2,2,21,1,3,,120,2,1,1,2,2,1,3,4,3,3,4,3,1,1,3,1,3,4,4,2,3,4,2,1,2,3,2,1,4,4,3,3,3,2,2,2,18,2,7,"South Asian",87
167,1,2,5,4,4,4,2,4,2,3,3,4,5,4,4,4,4,4,3,4,4,4,5,,,,,,,,,,,,,,,,,,120,2,5,2,3,3,5,5,5,5,4,5,1,4,4,2,3,5,4,5,5,3,5,1,,,,,,,,,,,,,,,,,,92
168,1,3,4,3,4,4,4,5,5,4,4,2,4,3,3,4,4,4,5,5,4,4,2,3,4,2,4,4,4,4,5,4,4,2,2,3,18,2,2,,136,2,5,5,1,5,4,5,5,5,4,4,3,5,4,4,4,4,5,5,5,5,5,3,5,5,4,5,4,5,5,5,5,5,3,2,3,18,2,2,,146
169,1,4,3,4,4,4,5,5,4,5,5,3,4,3,4,3,4,5,5,5,3,4,4,4,4,4,4,4,5,5,4,4,5,3,2,2,18,2,2,,76,2,4,4,2,3,2,4,4,4,2,4,2,3,2,4,3,2,4,4,5,3,4,2,2,3,2,3,3,4,5,4,4,4,1,2,1,18,2,4,,114
170,1,4,5,3,4,4,5,5,5,5,5,1,5,5,3,4,4,5,5,5,5,4,2,5,4,3,4,4,5,5,5,5,5,1,2,1,19,2,2,,130,2,5,4,5,3,4,5,5,5,5,5,1,3,3,5,4,4,5,5,5,4,5,1,3,3,5,5,4,5,5,5,4,5,1,2,3,18,2,4,,148
172,1,5,5,4,5,3,4,4,1,3,4,3,5,3,4,3,4,4,4,4,3,3,2,3,3,4,4,4,4,4,4,3,3,3,2,1,22,1,4,,134,2,4,4,1,3,4,5,5,5,3,5,3,4,5,3,5,5,5,5,5,4,5,3,5,5,5,4,5,5,5,5,4,5,3,2,2,18,2,4,,142
174,1,4,5,4,4,4,4,5,4,5,5,1,4,4,4,4,4,4,5,4,4,4,1,5,4,4,4,5,4,4,4,5,4,2,2,2,18,2,5,,149,2,1,3,1,2,1,4,4,4,3,3,2,1,2,1,3,1,4,5,4,3,4,3,2,1,1,3,1,5,4,4,3,3,3,2,1,21,2,5,,91
175,1,4,2,2,3,2,5,4,4,4,3,3,3,4,3,3,3,5,5,5,4,4,3,4,4,3,4,3,5,5,5,4,4,2,2,3,18,1,2,,121,2,5,4,1,3,2,4,4,4,3,4,4,3,4,,4,4,4,4,4,3,4,3,4,3,3,3,4,4,3,4,3,3,4,2,1,18,1,5,,109
177,1,4,4,4,4,4,5,4,5,4,4,3,4,4,4,4,4,4,5,5,4,4,3,4,5,4,4,4,4,5,4,4,4,3,2,1,18,2,4,,142,2,2,2,3,4,2,4,5,5,3,4,2,3,4,4,4,4,4,5,5,4,4,2,4,4,4,4,4,4,5,5,4,4,1,2,1,20,2,6,,130
178,1,4,5,1,3,5,5,5,5,5,5,1,5,5,1,3,3,5,5,1,5,5,1,5,5,1,3,5,5,5,5,5,5,1,2,1,19,2,5,,123,2,4,3,4,3,1,4,4,5,3,3,3,3,3,3,3,4,4,4,4,3,4,3,3,3,4,3,4,4,4,5,4,4,2,2,3,19,1,7,"White and Asian",117
179,1,4,4,3,4,4,5,5,5,4,4,1,4,4,3,4,4,5,5,5,4,4,1,4,4,3,4,4,5,5,5,4,4,1,2,2,19,1,2,,135,2,2,3,2,3,5,4,5,4,4,4,2,3,3,4,3,4,5,5,5,4,5,2,3,4,3,3,3,5,5,5,4,5,1,2,1,19,2,4,,130
180,1,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,4,5,4,4,4,2,4,4,4,4,3,4,5,4,4,4,2,1,3,18,2,2,,140,2,3,4,4,4,3,5,5,1,4,5,1,3,3,4,3,2,5,5,5,4,5,1,3,3,4,4,4,5,5,5,5,5,1,2,3,18,2,4,,135
181,1,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,5,5,2,2,19,2,2,,141,2,2,2,1,3,1,3,4,4,3,4,3,1,2,4,3,2,3,4,4,3,4,3,3,3,4,3,3,4,4,5,4,4,3,2,1,21,3,2,,103
